respondent_id,Q1_age,Q2_region,Q3_education,Q4_occupation,Q5_income,Q7_monthly_investment,Q9_time_horizon,Q11_dropout,Q12_loss_reaction,Q13_loss_aversion,Q14_autonomy,Q15_influence,Q19_tax_importance,Q20_app_comfort,Q21_data_sharing,Q23_wtp,Q23_wtp_numeric,Q20_pct_invest,Q24_nps,Q25_adoption_5class,Q25_adoption_3class,Q25_adoption_score,Q9_risk_appetite,goal_retirement,goal_child_edu,goal_home,goal_emergency,goal_tax_saving,goal_wealth,goal_travel,goal_business,goal_debt,inv_fd,inv_mf,inv_equity,inv_ppf_epf,inv_nps,inv_gold,inv_realestate,inv_insurance,inv_crypto,inv_none,plat_zerodha,plat_groww,plat_etmoney,plat_paytmmoney,plat_bankapp,plat_indmoney,plat_kuvera,plat_excel,plat_advisor,plat_none,pain_no_start,pain_confusing,pain_no_time,pain_fear_loss,pain_high_min,pain_no_advice,pain_tax,pain_bad_app,pain_no_trust,switch_better_reco,switch_lower_fees,switch_simpler_ux,switch_more_products,switch_human_advisor,switch_security,switch_loyal,switch_no_platform,feat_goal_planning,feat_ai_reco,feat_tax_tool,feat_one_platform,feat_sip_auto,feat_networth,feat_rebalance,feat_baskets,feat_education,feat_human_advisor,feat_family,feat_insurance,trust_sebi,trust_security,trust_brand,trust_reviews,trust_fees,trust_trial,trust_media
R0001,25-34,Metro,Postgraduate,Self-employed,12-25L,5K-15K,15+yr,Never tried,Hold,No preference,DIY,Parents,4,4,Yes-fully,>499,5,>30%,10,Definitely will use,Likely,26.42,Moderate,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
R0002,55+,Metro,Professional,Salaried-Private,25-50L,5K-15K,1-3yr,Never tried,Sell everything,Definitely A,Follow trusted people,Finfluencer,3,4,Basic only,<299,3,20-30%,8,Unlikely to use,Unlikely,20.21,Very Conservative,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
R0003,35-44,Rural,Postgraduate,Student,3-6L,Nothing,7-15yr,Never tried,Hold,Definitely A,Guided,Spouse/Partner,3,3,Yes-if-regulated,Maybe,1,>30%,6,Definitely will not use,Unlikely,11.09,Moderate,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
R0004,35-44,Metro,Graduate,Self-employed,>50L,>50K,15+yr,Too complicated,Sell some,No preference,Guided,Spouse/Partner,4,4,Yes-if-regulated,>499,5,5-10%,9,Definitely will use,Likely,27.62,Conservative,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
R0005,18-24,Metro,Graduate,Salaried-Private,6-12L,1K-5K,3-7yr,Never tried,Buy more,Definitely B,Guided,Financial Advisor,4,5,Yes-fully,<99,2,10-20%,10,Likely to use,Likely,25.55,Very Aggressive,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
R0006,18-24,Tier-3,Graduate,Retired,3-6L,5K-15K,3-7yr,Never tried,Sell some,Lean B,Guided,Myself,4,4,Yes-if-regulated,>499,4,5-10%,8,Likely to use,Unlikely,23.66,Very Aggressive,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1
R0007,18-24,Tier-2,Graduate,Self-employed,6-12L,Nothing,3-7yr,No trust,Hold,Definitely B,Full delegation,Bank Manager,4,4,Basic only,<299,3,5-10%,10,Definitely will not use,Unlikely,16.42,Moderate,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
R0008,45-54,Tier-3,Graduate,Salaried-Private,6-12L,5K-15K,3-7yr,Never tried,Sell everything,Lean A,DIY,Myself,4,3,Yes-fully,<99,2,5-10%,6,Neutral,Neutral,22.06,Very Conservative,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0
R0009,35-44,Metro,Postgraduate,Self-employed,25-50L,15K-50K,15+yr,Use it still,Hold,Lean B,Family decides,Spouse/Partner,5,4,Basic only,<299,3,10-20%,9,Neutral,Neutral,22.5,Moderate,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
R0010,35-44,Tier-2,Up to 12th,Salaried-Private,<3L,1K-5K,1-3yr,Use it still,Buy more,Definitely A,Follow trusted people,Finfluencer,5,4,Yes-if-regulated,Maybe,1,5-10%,10,Definitely will not use,Unlikely,17.86,Aggressive,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
R0011,18-24,Metro,Up to 12th,Student,6-12L,15K-50K,7-15yr,Use it still,Hold,Definitely B,Family decides,Spouse/Partner,5,4,Yes-if-regulated,<299,3,5-10%,9,Neutral,Neutral,22.4,Moderate,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
R0012,55+,Metro,Graduate,Student,6-12L,5K-15K,3-7yr,Too complicated,Sell some,Definitely B,Full delegation,Parents,2,2,Yes-if-regulated,Maybe,1,10-20%,8,Definitely will not use,Unlikely,17.72,Conservative,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
R0013,45-54,Rural,Postgraduate,Retired,12-25L,15K-50K,7-15yr,Never tried,Sell some,Lean A,DIY,Friends/Colleagues,4,3,No-privacy,<499,4,10-20%,7,Unlikely to use,Unlikely,19.59,Conservative,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
R0014,25-34,Metro,Graduate,Self-employed,3-6L,<1K,<1yr,No trust,Buy more,Definitely B,Family decides,Parents,4,4,Yes-fully,>499,5,5-10%,10,Neutral,Neutral,22.23,Aggressive,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
